pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,203,35,35030,181470,33110,NA,W,7791,52,NA,1,1,5,4,3,1,1,5,1,0,3,2,1,2,2,2,2,3,1,1,2,0,1390,2,1,1,NA,NA,NA,HANOVER PARK,60133,4056,0.529585799,0.018984221,0.055719921,0.337524655,0.116370809,32746,Hanover Park,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.763,73313,FALSE,TRUE,TRUE
2,207,29,29060,328800,8420,NA,O,2408,5,NA,1,1,7,3,2,3,1,5,1,0,3,2,1,2,2,2,2,3,1,1,1,0,1900,2,1,2,NA,NA,NA,PALATINE,60067,2855,0.776532399,0.007005254,0.07915937,0.119089317,0.03642732,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,91122,FALSE,TRUE,TRUE
3,203,39,39080,195750,29760,NA,W,4960,73,NA,2,1,5,2,1,3,1,5,1,1,3,1,0,1,NA,2,2,2,1,1,1,0,1023,2,1,1,NA,NA,1,EVERGREEN PARK,60805,4691,0.793007887,0.191856747,0,0.015135366,0,24634,Evergreen Park,0,0,3,1,0,0,SCHOOL DISTRICT  124,COMMUNITY HIGH SCHOOL  231,13.318,87500,FALSE,TRUE,TRUE
4,211,72,72150,81620,30240,NA,O,3780,94,2,1,1,7,4,2,3,1,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,2458,2,2,2,NA,NA,NA,CHICAGO,60629,5157,0.005235602,0.857669188,0.001745201,0.123715338,0.023269343,14000,Chicago,0,0,1,0,0,0,MCKAY,GAGE PARK HS,6.934,31310,FALSE,FALSE,TRUE
5,278,28,28036,216050,95980,NA,W,17451,45,NA,3,1,7,4,3,3,1,5,1,1,3,2,1,2,2,2,2,3,2,1,1,0,2439,2,1,2,NA,NA,NA,ORLAND PARK,60462,7020,0.862678063,0.02008547,0.01039886,0.073789174,0.066096866,56640,Orland Park,0,0,6,-1,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,91250,FALSE,TRUE,TRUE
6,211,70,70070,96350,34370,NA,W,3125,122,2,2,1,12,6,1,3,1,2,2,0,3,2,0,2,NA,2,2,7,NA,NA,NA,0,2400,2,2,2,NA,NA,NA,CHICAGO,60619,2435,0.006160164,0.953182752,0,0.027104723,0.024229979,14000,Chicago,0,0,1,0,0,0,REVERE,CHICAGO VOCATIONAL HS,6.89,37328,FALSE,FALSE,TRUE
7,234,13,13312,148470,33720,NA,W,9635,35,NA,3,1,6,3,3,1,1,5,2,1,3,2,1,2,2,2,2,4,2,1,2,0,1286,2,1,4,NA,NA,NA,OAK FOREST,60452,4834,0.685353744,0.082540339,0.051923873,0.162184526,0.035995035,54638,Oak Forest,0,0,3,0,0,0,SCHOOL DISTRICT 145,COMMUNITY HIGH SCHOOL  228,15.388,63931,FALSE,TRUE,TRUE
8,205,17,17120,607530,99990,NA,W,6666,96,NA,2,1,8,4,1,3,2,5,1,1,1,2,1,2,2,2,2,1,2,1,2,0,2196,2,1,2,1,NA,NA,EVANSTON,60201,4175,0.894131737,0.004550898,0.036886228,0.042634731,0.038802395,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,141250,FALSE,TRUE,TRUE
9,207,39,39122,209220,40450,NA,W,6224,53,NA,3,1,6,3,3,3,1,5,1,0,3,1,1,2,2,2,2,3,2,1,1,0,1884,2,1,2,NA,NA,NA,OAK LAWN,60453,4320,0.696527778,0.06875,0.009722222,0.200462963,0.049074074,54820,Oak Lawn,0,0,6,1,0,0,SCHOOL DISTRICT  122,COMMUNITY HIGH SCHOOL  229,11.134,71949,FALSE,TRUE,TRUE
10,208,28,28100,459670,102370,NA,W,15750,27,NA,3,1,9,5,3,3,1,5,1,2,3,3,0,2,2,2,2,3,2,1,1,0,3824,2,1,2,NA,NA,NA,ORLAND PARK,60467,8884,0.861548852,0.012606934,0.045587573,0.055718145,0.049076992,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,105942,TRUE,TRUE,TRUE
